Position,TrackName,Artist,Streams,URL,Images
1,drivers license,Olivia Rodrigo,42861515,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS,https://i.scdn.co/image/ab67616d0000b27359779689e1d9c15ca2f76b84
2,Save Your Tears,The Weeknd,30002430,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g,https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36
3,Blinding Lights,The Weeknd,26709566,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36
4,Calling My Phone,Lil Tjay,26623780,https://open.spotify.com/track/5Kskr9LcNYa0tpt5f0ZEJx,https://i.scdn.co/image/ab67616d0000b2731b36f91abf80aedb7c88f460
5,DÁKITI,Bad Bunny,24806315,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49,https://i.scdn.co/image/ab67616d0000b273005ee342f4eef2cc6e8436ab
6,Bandido,Myke Towers,19794612,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb,https://i.scdn.co/image/ab67616d0000b273069e5634bc475b5c0436a3ce
7,Mood (feat. iann dior),24kGoldn,19103306,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq,https://i.scdn.co/image/ab67616d0000b273ff8c985ecb3b7c5f847be357
8,Love Story (Taylor’s Version),Taylor Swift,18627530,https://open.spotify.com/track/3CeCwYWvdfXbZLXFhBrbnf,https://i.scdn.co/image/ab67616d0000b273877ea8fa223c26f19aaef92d
9,WITHOUT YOU,The Kid LAROI,18341882,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA,https://i.scdn.co/image/ab67616d0000b273df16d539f508603bfb1efe02
10,Whoopty,CJ,17378401,https://open.spotify.com/track/5vGLcdRuSbUhD8ScwsGSdA,https://i.scdn.co/image/ab67616d0000b2735038c2513329a3123b62923d
11,Streets,Doja Cat,17016829,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf,https://i.scdn.co/image/ab67616d0000b27382b243023b937fd579a35533
12,The Business,Tiësto,16842976,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN,https://i.scdn.co/image/ab67616d0000b273f461bbc21a9bcec43a926973
13,Good Days,SZA,16817642,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A,https://i.scdn.co/image/ab67616d0000b2733097b1375ab17ae5bf302a0a
14,BICHOTA,KAROL G,15982215,https://open.spotify.com/track/7vrJn5hDSXRmdXoR30KgF1,https://i.scdn.co/image/ab67616d0000b273a9c7357101e65ee6af3c3789
15,positions,Ariana Grande,15738289,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0,https://i.scdn.co/image/ab67616d0000b2735ef878a782c987d38d82b605
16,Astronaut In The Ocean,Masked Wolf,15670268,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh,https://i.scdn.co/image/ab67616d0000b27367f78019693691a200452eaa
17,Levitating (feat. DaBaby),Dua Lipa,15656959,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF,https://i.scdn.co/image/ab67616d0000b273ba1fe13f70fffa7430cb3cd1
18,LA NOCHE DE ANOCHE,Bad Bunny,15468368,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck,https://i.scdn.co/image/ab67616d0000b273005ee342f4eef2cc6e8436ab
19,34+35,Ariana Grande,15229547,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF,https://i.scdn.co/image/ab67616d0000b2735ef878a782c987d38d82b605
20,Baila Conmigo (with Rauw Alejandro),Selena Gomez,14895151,https://open.spotify.com/track/0D75ciM842cdUMKSMfAR9y,https://i.scdn.co/image/ab67616d0000b273bb607a63a7dceb48b4d189e3
21,Dynamite,BTS,14780080,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc,https://i.scdn.co/image/ab67616d0000b2733deb4b0115410a85afe31c29
22,We're Good,Dua Lipa,14523521,https://open.spotify.com/track/1diS6nkxMQc3wwC4G1j0bh,https://i.scdn.co/image/ab67616d0000b273f4b8a43495c6172243cf16f4
23,Up,Cardi B,14212148,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi,https://i.scdn.co/image/ab67616d0000b273199f2f07a9be49f2c930299a
24,Hecha Pa' Mi,Boza,14070280,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx,https://i.scdn.co/image/ab67616d0000b2735921096535733d90092393b6
25,"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,13916212,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX,https://i.scdn.co/image/ab67616d0000b2739ca0c952f130e28025209cf0
26,Anyone,Justin Bieber,13674774,https://open.spotify.com/track/31qCy5ZaophVA81wtlwLc4,https://i.scdn.co/image/ab67616d0000b2734b02db5cefb177ff97346cf2
27,you broke me first,Tate McRae,12907542,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR,https://i.scdn.co/image/ab67616d0000b2730c2c97099fd6a637ed0aa4a4
28,Someone You Loved,Lewis Capaldi,12527224,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,https://i.scdn.co/image/ab67616d0000b273fc2101e6889d6ce9025f85f2
29,Paradise (feat. Dermot Kennedy),MEDUZA,12526998,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr,https://i.scdn.co/image/ab67616d0000b273b6567be9f8b996a2b5f9b7fa
30,What You Know Bout Love,Pop Smoke,11983607,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y,https://i.scdn.co/image/ab67616d0000b27377ada0863603903f57b34369
31,Therefore I Am,Billie Eilish,11945718,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha,https://i.scdn.co/image/ab67616d0000b273fec5ef9f3133aff71c525acc
32,Prisoner (feat. Dua Lipa),Miley Cyrus,11792836,https://open.spotify.com/track/2Oycxb8QbPkpHTo8ZrmG0B,https://i.scdn.co/image/ab67616d0000b2738cffb7c6c40759eaf8a5a142
33,Watermelon Sugar,Harry Styles,11370885,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
34,Head & Heart (feat. MNEK),Joel Corry,10946384,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9,https://i.scdn.co/image/ab67616d0000b27391e93c59bacfe819db9601eb
35,Hawái,Maluma,10850422,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp,https://i.scdn.co/image/ab67616d0000b27387d15f78ec75621d40028baf
36,Reloj,Rauw Alejandro,10757789,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J,https://i.scdn.co/image/ab67616d0000b2733926e048d839e1173fe17326
37,Heat Waves,Glass Animals,10667402,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx,https://i.scdn.co/image/ab67616d0000b2739e495fb707973f3390850eea
38,Goosebumps - Remix,Travis Scott,10646313,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9,https://i.scdn.co/image/ab67616d0000b2739109b0425fb5b36284a24891
39,Sweater Weather,The Neighbourhood,10439030,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6,https://i.scdn.co/image/ab67616d0000b27378f71c0d2fe34592a3c18f80
40,GIRL LIKE ME,Black Eyed Peas,10420265,https://open.spotify.com/track/2vBET2pmrQqafaS6zIaYta,https://i.scdn.co/image/ab67616d0000b273d459374a978da728adea3f38
41,WAP (feat. Megan Thee Stallion),Cardi B,10360585,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih,https://i.scdn.co/image/ab67616d0000b273c450c89d3eb750d3535b0a0c
42,Dance Monkey,Tones And I,10297539,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,https://i.scdn.co/image/ab67616d0000b27338802659d156935ada63c9e3
43,Don't Start Now,Dua Lipa,10024258,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62,https://i.scdn.co/image/ab67616d0000b273cda2c6ad6272aea9c5811a49
44,Monster (Shawn Mendes & Justin Bieber),Shawn Mendes,10011451,https://open.spotify.com/track/1HbA4N1MiOsPthALesGFR1,https://i.scdn.co/image/ab67616d0000b27337a5a19e52f8260b3b158e55
45,ROCKSTAR (feat. Roddy Ricch),DaBaby,9886429,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4,https://i.scdn.co/image/ab67616d0000b27320e08c8cc23f404d723b5647
46,La Nota,Manuel Turizo,9879804,https://open.spotify.com/track/7ndTONDDRFGiPnnhOzOXxq,https://i.scdn.co/image/ab67616d0000b273f26be6e9676de14803a525e2
47,willow,Taylor Swift,9619253,https://open.spotify.com/track/3Uo7WG0vmLQ07WB4BDwy7D,https://i.scdn.co/image/ab67616d0000b27325751b4b32829d6bbfe6be7f
48,Roses - Imanbek Remix,SAINt JHN,9567293,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb,https://i.scdn.co/image/ab67616d0000b273401883269b2ca70bc343a7d0
49,Lonely (with benny blanco),Justin Bieber,9397026,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q,https://i.scdn.co/image/ab67616d0000b27383b22beb73e2014b20159685
50,Heather,Conan Gray,9233791,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA,https://i.scdn.co/image/ab67616d0000b27388e3cda6d29b2552d4d6bc43
51,Ropa Cara,Camilo,9147891,https://open.spotify.com/track/7BIy3EGQhg98CsRdKYHnJC,https://i.scdn.co/image/ab67616d0000b273f7884ae3a1a00f73dd0e9fff
52,Before You Go,Lewis Capaldi,9104225,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP,https://i.scdn.co/image/ab67616d0000b2737b9639babbe96e25071ec1d4
53,For The Night (feat. Lil Baby & DaBaby),Pop Smoke,9075305,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S,https://i.scdn.co/image/ab67616d0000b27377ada0863603903f57b34369
54,Afterglow,Ed Sheeran,8968136,https://open.spotify.com/track/0E4Y1XIbs8GrAT1YqVy6dq,https://i.scdn.co/image/ab67616d0000b27388e170d5ced543d191593fc8
55,Best Friend (feat. Doja Cat),Saweetie,8568983,https://open.spotify.com/track/2etHQJxIbV0soyPhelVs9Y,https://i.scdn.co/image/ab67616d0000b27351a5b3a493959c834c222ad7
56,The Hills,The Weeknd,8479448,https://open.spotify.com/track/7fBv7CLKzipRk6EC6TWHOB,https://i.scdn.co/image/ab67616d0000b2737fcead687e99583072cc217b
57,Your Love (9PM),ATB,8360270,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx,https://i.scdn.co/image/ab67616d0000b273f1462ebfec5f96421f44dcd3
58,HEARTBREAK ANNIVERSARY,Giveon,8268553,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp,https://i.scdn.co/image/ab67616d0000b27318ff322fcdd47c9400872da6
59,HOLIDAY,Lil Nas X,8224823,https://open.spotify.com/track/6zFMeegAMYQo0mt8rXtrli,https://i.scdn.co/image/ab67616d0000b2736771a05f34d77e5fc2bde64c
60,TE MUDASTE,Bad Bunny,8197090,https://open.spotify.com/track/5RubKOuDoPn5Kj5TLVxSxY,https://i.scdn.co/image/ab67616d0000b273005ee342f4eef2cc6e8436ab
61,Holy (feat. Chance The Rapper),Justin Bieber,8100929,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy,https://i.scdn.co/image/ab67616d0000b273572c68f79b356c21202e248c
62,Snowman,Sia,8095897,https://open.spotify.com/track/7uoFMmxln0GPXQ0AcCBXRq,https://i.scdn.co/image/ab67616d0000b273d752d86d6660f40a032d46c7
63,Arcade,Duncan Laurence,8018234,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C,https://i.scdn.co/image/ab67616d0000b27359ce61a220822995a3ccd27f
64,Goosebumps,HVME,8001120,https://open.spotify.com/track/20McUFi8KCIVdNDLrkTDuZ,https://i.scdn.co/image/ab67616d0000b2735d29fc4c51a450bd32135de1
65,Laugh Now Cry Later (feat. Lil Durk),Drake,7986917,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI,https://i.scdn.co/image/ab67616d0000b27352c75ed37313b889447011ef
66,In Your Eyes,The Weeknd,7926461,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl,https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36
67,Chica Ideal,Sebastian Yatra,7921863,https://open.spotify.com/track/21N4Buj4xsyLb218lYle61,https://i.scdn.co/image/ab67616d0000b273d773dad5e1b6797f8c821172
68,Lucid Dreams,Juice WRLD,7792499,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,https://i.scdn.co/image/ab67616d0000b273f7db43292a6a99b21b51d5b4
69,death bed (coffee for your head),Powfu,7760635,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx,https://i.scdn.co/image/ab67616d0000b273bf01fd0986a195d485922167
70,No Te Enamores - Remix,Milly,7740153,https://open.spotify.com/track/2mM3gZ0BbPwPPMelbA8vgt,https://i.scdn.co/image/ab67616d0000b273dbce84de6903c77101781f12
71,lovely (with Khalid),Billie Eilish,7720426,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4,https://i.scdn.co/image/ab67616d0000b2738a3f0a3ca7929dea23cd274c
72,Circles,Post Malone,7627845,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,https://i.scdn.co/image/ab67616d0000b2739478c87599550dd73bfa7e02
73,Relación - Remix,Sech,7598564,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl,https://i.scdn.co/image/ab67616d0000b27363d74fcb3aaafe8c16e62f9b
74,BEBÉ,Camilo,7571377,https://open.spotify.com/track/7D7EH7MGyNHWSkqrszerI1,https://i.scdn.co/image/ab67616d0000b273a82e8d3dc5cea65aca690beb
75,LOCATION,KAROL G,7552834,https://open.spotify.com/track/5Km4r87BoX2qqtoprYS1gh,https://i.scdn.co/image/ab67616d0000b2735a781df1741539e2817ad357
76,goosebumps,Travis Scott,7433950,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2,https://i.scdn.co/image/ab67616d0000b273f54b99bf27cda88f4a7403ce
77,Ella No Es Tuya - Remix,Rochy RD,7381124,https://open.spotify.com/track/5YYW3yRktprLRr47WK219Y,https://i.scdn.co/image/ab67616d0000b2737e4b101046479cd4568a3cbc
78,Shallow,Lady Gaga,7371627,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,https://i.scdn.co/image/ab67616d0000b273e2d156fdc691f57900134342
79,Golden,Harry Styles,7370093,https://open.spotify.com/track/45S5WTQEGOB1VHr1Q4FuPl,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
80,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,7355712,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY,https://i.scdn.co/image/ab67616d0000b2739478c87599550dd73bfa7e02
81,Savage Love (Laxed - Siren Beat),Jawsh 685,7250912,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c,https://i.scdn.co/image/ab67616d0000b273e3eb3b8feeafb746ecf659e7
82,At My Worst,Pink Sweat$,7244524,https://open.spotify.com/track/2MJz8BxxMsERULatmBikDH,https://i.scdn.co/image/ab67616d0000b27375af9fb0fa8dc8f3adef6905
83,UN DIA (ONE DAY) (Feat. Tainy),J Balvin,7242887,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e,https://i.scdn.co/image/ab67616d0000b273312bd86cc2db22fde885ee73
84,Adore You,Harry Styles,7234027,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
85,La Tóxica,Farruko,7097729,https://open.spotify.com/track/15OjBeqNX3bShsGYQbteRv,https://i.scdn.co/image/ab67616d0000b27300dbb42f00340f35ce0ec816
86,Breaking Me,Topic,7096603,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po,https://i.scdn.co/image/ab67616d0000b273ca801dab96017456b9847ac2
87,Wishing Well,Juice WRLD,7073262,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv,https://i.scdn.co/image/ab67616d0000b2733e0698e4ae5ffb82a005aeeb
88,The Box,Roddy Ricch,7040473,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,https://i.scdn.co/image/ab67616d0000b273600adbc750285ea1a8da249f
89,Señorita,Shawn Mendes,6977790,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,https://i.scdn.co/image/ab67616d0000b273c820f033bd82bef4355d1563
90,Wellerman - Sea Shanty / 220 KID x Billen Ted Remix,Nathan Evans,6928286,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN,https://i.scdn.co/image/ab67616d0000b273b55f1a2f0299d6525c6ac99e
91,Polvo,Nicky Jam,6915685,https://open.spotify.com/track/68mrW6gXHgupgSiDHgaDi5,https://i.scdn.co/image/ab67616d0000b273acdb516fd1cff5b73bde9b1d
92,Mi Niña,Wisin,6908147,https://open.spotify.com/track/2bgcUk2A3jjKbCJ7KPquTi,https://i.scdn.co/image/ab67616d0000b27300690a8308104ec86eee3dbb
93,Vida de Rico,Camilo,6882780,https://open.spotify.com/track/73nAK3HgQK8dak83Y2WQ8F,https://i.scdn.co/image/ab67616d0000b2731787548fbb289e9a26a5e1c1
94,Say You Won't Let Go,James Arthur,6825249,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,https://i.scdn.co/image/ab67616d0000b27320beb61f61fcbeb33b10a9ab
95,Memories,Maroon 5,6809502,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,https://i.scdn.co/image/ab67616d0000b273b8c0135a218de2d10a8435f5
96,Train Wreck,James Arthur,6801151,https://open.spotify.com/track/55Am8neGJkdj2ADaM3aw5H,https://i.scdn.co/image/ab67616d0000b27320beb61f61fcbeb33b10a9ab
97,Esquema Preferido,DJ Ivis,6788039,https://open.spotify.com/track/27X3qzgB0Show6qfw5wNOK,https://i.scdn.co/image/ab67616d0000b27349c95c97f3ca3da3bea2dc67
98,Hasta Abajo,Kevin Roldan,6767753,https://open.spotify.com/track/4PEfJZpVjdclfzZ9XO8uDw,https://i.scdn.co/image/ab67616d0000b273705eb0a80239f0f02b3b4f54
99,Blueberry Faygo,Lil Mosey,6763045,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW,https://i.scdn.co/image/ab67616d0000b2730824105a6282782aaabb0584
100,Perfect,Ed Sheeran,6744837,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,https://i.scdn.co/image/ab67616d0000b273ba5db46f4b838ef6027e6f96
